"time","target.protein","efflux.DNA","efflux.mRNA","efflux.protein","drug","target.dimer","efflux.dimer","alive","generation","volume","target.protein.concentration","efflux.mRNA.concentration","efflux.protein.concentration","drug.concentration","target.dimer.concentration","efflux.dimer.concentration","fraction.bound.targets"
10.1368452323056,309,0,0,0,0,0,0,1,"1",3.18335100378368,97.0675240125037,0,0,0,0,0,0
10.1694707876477,310,0,0,0,0,0,0,1,"1",3.18655213629432,97.2838311569263,0,0,0,0,0,0
10.2347966415301,311,0,0,0,0,0,0,1,"1",3.19297141365447,97.4014357504219,0,0,0,0,0,0
10.256252426421,312,0,0,0,0,0,0,1,"1",3.19508259683511,97.6500577196508,0,0,0,0,0,0
10.3321811214493,313,0,0,0,0,0,0,1,"1",3.20256496367509,97.7341610709494,0,0,0,0,0,0
10.5787866700274,314,0,0,0,0,0,0,1,"1",3.22698770788085,97.3043681676129,0,0,0,0,0,0
11.0310269602289,315,0,0,0,0,0,0,1,"1",3.27226060678413,96.2637264730488,0,0,0,0,0,0
11.0778875671954,316,0,0,0,0,0,0,1,"1",3.27698789684516,96.4300174267414,0,0,0,0,0,0
11.1895157031062,317,0,0,0,0,0,0,1,"1",3.2882764533032,96.4030866935053,0,0,0,0,0,0
11.6465009770363,318,0,0,0,0,0,0,1,"1",3.33489664830087,95.3552788995789,0,0,0,0,0,0
11.768560865791,319,0,0,0,0,0,0,1,"1",3.34746027645933,95.2961271096581,0,0,0,0,0,0
11.7701643895416,320,0,0,0,0,0,0,1,"1",3.34762564180336,95.5901388745535,0,0,0,0,0,0
11.8546847464656,321,0,0,0,0,0,0,1,"1",3.35635347981926,95.6395093455073,0,0,0,0,0,0
11.9106791866742,322,0,0,0,0,0,0,1,"1",3.3621481693866,95.7721027680784,0,0,0,0,0,0
11.9537262742741,323,0,0,0,0,0,0,1,"1",3.36660977896192,95.9422152274493,0,0,0,0,0,0
11.9796991899695,324,0,0,0,0,0,0,1,"1",3.36930460160744,96.162276288533,0,0,0,0,0,0
12.0368419367534,325,0,0,0,0,0,0,1,"1",3.37524104931049,96.2894191116786,0,0,0,0,0,0
12.0458339839216,326,0,0,0,0,0,0,1,"1",3.37617616742017,96.5589423756597,0,0,0,0,0,0
12.1367807006985,327,0,0,0,0,0,0,1,"1",3.38564864537804,96.58415100055,0,0,0,0,0,0
12.2343419867371,328,0,0,0,0,0,0,1,"1",3.39583960663587,96.5887786216551,0,0,0,0,0,0
12.3089893115084,329,0,0,0,0,0,0,1,"1",3.40365775330112,96.6607173359048,0,0,0,0,0,0
12.3371564183965,330,0,0,0,0,0,0,1,"1",3.40661249491001,96.8704249435676,0,0,0,0,0,0
12.4038807540975,331,0,0,0,0,0,0,1,"1",3.41362214548408,96.9644518031629,0,0,0,0,0,0
12.5241974851812,332,0,0,0,0,0,0,1,"1",3.42629835848833,96.8975743684148,0,0,0,0,0,0
12.5243240836974,333,0,0,0,0,0,0,1,"1",3.42631172129187,97.1890554880525,0,0,0,0,0,0
12.5469590314982,334,0,0,0,0,0,0,1,"1",3.42870173690872,97.4129643312548,0,0,0,0,0,0
12.5753166938712,335,0,0,0,0,0,0,1,"1",3.43169836462338,97.6193022829281,0,0,0,0,0,0
12.617732084457,336,0,0,0,0,0,0,1,"1",3.43618539791998,97.7828496109059,0,0,0,0,0,0
12.636907279646,337,0,0,0,0,0,0,1,"1",3.43821582596851,98.0159527667437,0,0,0,0,0,0
12.6514334018337,338,0,0,0,0,0,0,1,"1",3.43975477043298,98.2628188803861,0,0,0,0,0,0
12.7850913496864,339,0,0,0,0,0,0,1,"1",3.45394729427317,98.1485735355836,0,0,0,0,0,0
12.9233903745562,340,0,0,0,0,0,0,1,"1",3.46869427981635,98.0195925534265,0,0,0,0,0,0
