"time","target.protein","efflux.DNA","efflux.mRNA","efflux.protein","drug","target.dimer","efflux.dimer","volume","generation","target.protein.concentration","efflux.mRNA.concentration","efflux.protein.concentration","drug.concentration","target.dimer.concentration","efflux.dimer.concentration","fraction.bound.targets"
234,256.736157986188,0.048780487804878,0.120084035302619,11.121760889321,3.9968589638672,23.4025138888127,8.64459825638918e-05,3.07379251799525,0,83.5242315423533,0.039067059536256,3.61825361478032,1.30030213180231,7.61356329414062,2.81235581314618e-05,0.0835390334800151
234.225,258.561026554048,0.048780487804878,0.120718713451811,11.2062605322286,4.02141373968825,23.5776453209529,8.7032522995635e-05,3.09517243571813,0,83.5368729607007,0.0390022578576635,3.62056097518475,1.29925353860138,7.61755469545673,2.81187962232036e-05,0.0835675774762234
234.45,260.384908204744,0.048780487804878,0.121333900518964,11.2911987195049,4.04623833866522,23.7537636702575,8.76240406156263e-05,3.11670106252895,0,83.5450378399341,0.0389302336299494,3.62280452727894,1.29824396292342,7.62144433928586,2.8114355165178e-05,0.083599193004982
234.675,262.207802609343,0.048780487804878,0.121930195078718,11.3765619831707,4.07134091535026,23.9308692656578,8.82205853007955e-05,3.13837943278119,0,83.5487895027969,0.0388513236497554,3.62497977916229,1.29727491609971,7.62523135848189,2.81102356137401e-05,0.0836338168093263
234.9,264.029708963298,0.048780487804878,0.122508177323454,11.4623372688531,4.09672919865275,24.1089629117031,8.8822201178388e-05,3.16020858802288,0,83.5481904466574,0.038765851655412,3.6270825009131,1.29634772026735,7.62891506689639,2.81064362381085e-05,0.0836713890392399
235.125,265.850626019291,0.048780487804878,0.123068409627751,11.5485119230853,4.12241052642533,24.2880458557097,8.94289271801393e-05,3.18218957704655,0,83.5433023654212,0.0386741288185517,3.62910871381953,1.29546352491401,7.63249494338799,2.81029539613853e-05,0.0837118530210052
235.35,267.670552117855,0.048780487804878,0.12361143709553,11.6350736809948,4.14839187770148,24.4681197571462,9.00407975412917e-05,3.20432345593966,0,83.5341861701539,0.0385764542173165,3.63105468002225,1.29462332212806,7.63597061707086,2.80997841757793e-05,0.0837551550436826
235.575,269.489485215886,0.048780487804878,0.124137788090451,11.7220106543692,4.17467990273291,24.6491866591153,9.06578422789194e-05,3.22661128813537,0,83.5209020085036,0.0384731152918606,3.63291689255301,1.29382796064828,7.639341853713,2.80969209437402e-05,0.0838012441614287
235.8,271.307422913194,0.048780487804878,0.124647974750037,11.8093113200881,4.20128095096073,24.8312489618067,9.12800876167866e-05,3.24905414446357,0,83.5035092830034,0.0383643882827987,3.63469206575436,1.29307815879885,7.64260854320309,2.80943571754041e-05,0.0838500720104798
236.025,273.124362477201,0.048780487804878,0.125142493483987,11.8969645089103,4.22820109704671,25.0143093978002,9.19075563852735e-05,3.27165310320238,0,83.4820666683335,0.0382505386532254,3.63637712606671,1.29237451638991,7.64577068800955,2.80920847920313e-05,0.0839015926397089
236.25,274.940300865901,0.048780487804878,0.12562182545717,11.9849593946066,4.25544616509258,25.1983710091003,9.25402683862473e-05,3.29440925012992,0,83.4566321276139,0.0381318214949209,3.63796920316864,1.29171752566102,7.64882839255828,2.80900948728813e-05,0.0839557623537253
236.475,276.755234749216,0.048780487804878,0.126086437057787,12.0732854834252,4.28302175116944,25.3834371257851,9.3178240729015e-05,3.31732367857652,0,83.4272629277989,0.0380084819193439,3.63946562145721,1.29110758134018,7.65178185346005,2.80883777880241e-05,0.0840125395675486
236.7,278.569160528837,0.048780487804878,0.126536780351169,12.1619326038816,4.3109332442692,25.5695113461646,9.38214881393236e-05,3.34039748947719,0,83.3940156542375,0.0378807554339807,3.64086389185529,1.29054498988499,7.65463135052423,2.80869233182209e-05,0.0840718846719809
236.925,280.382074356651,0.048780487804878,0.126973293519639,12.2508908968608,4.33918584578132,25.7565975183504,9.44700232429352e-05,3.36363179142459,0,83.3569462244562,0.0377488683045959,3.64216170393377,1.29002997796723,7.65737723850022,2.8085720762832e-05,0.0841337599088657
237.15,282.193972151856,0.048780487804878,0.127396401288864,12.3401508060245,4.3677845875923,25.9446997231451,9.51238568258258e-05,3.38702770072221,0,83.3161099012222,0.0376130379039117,3.64335691833676,1.28956270025809,7.66001993949236,2.80847590368223e-05,0.0841981292554859
237.375,284.004849616839,0.048780487804878,0.127806515341107,12.4297030685127,4.39673434890123,26.133822258162,9.57829980727048e-05,3.41058634143808,0,83.2715613049362,0.0374734730472231,3.64444755949842,1.28914324656778,7.66255993599698,2.80840267577914e-05,0.0842649583174038
237.6,285.814702251909,0.048780487804878,0.128204034715795,12.5195387059304,4.42603987183921,26.3239696230919,9.64474547854656e-05,3.43430884545871,0,83.2233544254036,0.0373303743154383,3.64543180864042,1.28877164838913,7.66499776451406,2.80835123238846e-05,0.0843342142290962
237.825,287.62352536896,0.048780487804878,0.128589346197777,12.6096490156119,4.45570577597439,26.5151465060409,9.71172335830657e-05,3.45819635254353,0,83.1715426330291,0.0371839343660166,3.64630799703936,1.28844788489155,7.66733400968941,2.80832039833814e-05,0.0844058655617909
238.05,289.431314104137,0.048780487804878,0.128962824693671,12.7000255621526,4.485736571779,26.7073577708646,9.77923400842161e-05,3.48225001037961,0,83.1161786894746,0.0370343382322548,3.64707459955413,1.28817188840786,7.66956929894677,2.8083089896683e-05,0.084479882237958
238.275,291.238063429569,0.048780487804878,0.129324833596645,12.7906601692016,4.51613667312982,26.9006084454322,9.84727790741658e-05,3.50647097463682,0,83.0573147578197,0.0368817636113586,3.64773022840332,1.28794354945362,7.67170429757183,2.80831581913679e-05,0.0845562354519465
238.5,293.043768164245,0.048780487804878,0.129675725139996,12.8815449115055,4.54691040890984,27.0949037107559,9.91585546567806e-05,3.53086040902334,0,82.99500241226,0.0367263811417186,3.6482736271833,1.28776272131572,7.67373970421294,2.8083397010931e-05,0.0846348975962991
238.725,294.848422984076,0.048780487804878,0.13001584073987,12.9726721071975,4.57806203377387,27.2902488909258,9.98496703930376e-05,3.55541948534159,0,82.9292926473761,0.0365683546697946,3.64870366511791,1.28762922424442,7.6756762467661,2.80837945577734e-05,0.0847158421933121
238.95,296.652022431208,0.048780487804878,0.130345511327462,13.0640343103225,4.60959573813732,27.4866494437929,0.000100546129426967,3.58014938354451,0,82.8602358870035,0.0364078415069972,3.64901933153093,1.28754284928011,7.67751467861374,2.80843391309615e-05,0.0847990438314398
239.175,298.45456092265,0.048780487804878,0.130665057671011,13.1556243035923,4.64151565744292,27.684110952351,0.000101247934599977,3.60505129179229,0,82.7878819927332,0.0362449926769419,3.64921973053312,1.28750336174422,7.67925577518969,2.80850191592254e-05,0.0848844781061763
239.4,300.256032758237,0.048780487804878,0.130974790687903,13.2474350913632,4.67382588075702,27.8826391167642,0.000101955088554488,3.63012640650939,0,82.7122802720674,0.0360799531534342,3.6493040759155,1.28751050442104,7.68090033084419,2.80858232296447e-05,0.0849721215650729
239.625,302.056432128004,0.048780487804878,0.131275011747194,13.3394598928287,4.7065304587442,28.0822397469975,0.000102667593828195,3.65537593244208,0,82.6334794862553,0.035912862089534,3.64927168624129,1.28756400045559,7.68244915598499,2.80867401125565e-05,0.0850619516565757
239.85,303.855753118995,0.048780487804878,0.131566012962842,13.4316921354224,4.73963341106351,28.2829187560065,0.000103385452937655,3.68080108271631,0,82.5515278578324,0.0357438530380323,3.64912198012893,1.28766355599032,7.68390307447275,2.80877587824877e-05,0.0851539466823983
240.075,305.653989721555,0.048780487804878,0.131848077477932,13.5241254484223,4.77313873322951,28.4846821534461,0.000104108668455876,3.70640307889596,0,82.4664730778826,0.0355730541636625,3.64885447171891,1.28780886256206,7.68526292125003,2.80888684365348e-05,0.085248085753157
240.3,307.45113583514,0.048780487804878,0.132121479740172,13.6167536567521,4.80705040297709,28.6875360398615,0.000104837243080096,3.7321831510416,0,82.3783623130431,0.0354005884473537,3.64846876631761,1.28799959927891,7.68652954018487,2.80900585092768e-05,0.0853443487470238
240.525,309.247185273676,0.048780487804878,0.132386485768931,13.7095707749733,4.84137238616625,28.8914866013255,0.000105571179693653,3.75814253776951,0,82.2872422122702,0.0352265738828266,3.64796455621133,1.28823543479531,7.68770378211168,2.8091318685403e-05,0.0854427162711685
240.75,311.04213177051,0.048780487804878,0.132643353414077,13.8025710014607,4.87610864226087,29.0965401044908,0.000106310481420915,3.78428248631125,0,82.1931589133823,0.0350511236658158,3.64734161664416,1.2885160291017,7.68878650305326,2.80926389098774e-05,0.0855431696257801
240.975,312.835968982974,0.048780487804878,0.132892332606857,13.8957487127577,4.91126312941288,29.3027028920274,0.000107055151676277,3.81060425257356,0,82.0961580493946,0.0348743463761963,3.64659980195346,1.28884103514449,7.68977856260914,2.80940093960099e-05,0.0856456907704749
