"sample.time","num.cells","parameter.index","mutant.effect","drug.outsideConcentration.MULT","cell.type"
40,41997,"57",2,2.51188643150958,"REG-ON"
50,25785,"57",2,2.51188643150958,"REG-ON"
60,7957,"57",2,2.51188643150958,"REG-ON"
0,100000,"58",10,2.51188643150958,"REG-ON"
10,98929,"58",10,2.51188643150958,"REG-ON"
20,84320,"58",10,2.51188643150958,"REG-ON"
30,109093,"58",10,2.51188643150958,"REG-ON"
40,57733,"58",10,2.51188643150958,"REG-ON"
50,46011,"58",10,2.51188643150958,"REG-ON"
60,19207,"58",10,2.51188643150958,"REG-ON"
0,100000,"59",50,2.51188643150958,"REG-ON"
10,99205,"59",50,2.51188643150958,"REG-ON"
20,90178,"59",50,2.51188643150958,"REG-ON"
30,137869,"59",50,2.51188643150958,"REG-ON"
40,93571,"59",50,2.51188643150958,"REG-ON"
50,104863,"59",50,2.51188643150958,"REG-ON"
60,61204,"59",50,2.51188643150958,"REG-ON"
0,100000,"60",200,2.51188643150958,"REG-ON"
10,99445,"60",200,2.51188643150958,"REG-ON"
20,92897,"60",200,2.51188643150958,"REG-ON"
30,153935,"60",200,2.51188643150958,"REG-ON"
40,116917,"60",200,2.51188643150958,"REG-ON"
50,153485,"60",200,2.51188643150958,"REG-ON"
60,105530,"60",200,2.51188643150958,"REG-ON"
0,100000,"61",2,3.16227766016838,"REG-ON"
10,97599,"61",2,3.16227766016838,"REG-ON"
20,68952,"61",2,3.16227766016838,"REG-ON"
30,57927,"61",2,3.16227766016838,"REG-ON"
40,18704,"61",2,3.16227766016838,"REG-ON"
50,7130,"61",2,3.16227766016838,"REG-ON"
60,1495,"61",2,3.16227766016838,"REG-ON"
0,100000,"62",10,3.16227766016838,"REG-ON"
10,98016,"62",10,3.16227766016838,"REG-ON"
20,74402,"62",10,3.16227766016838,"REG-ON"
30,74027,"62",10,3.16227766016838,"REG-ON"
40,29229,"62",10,3.16227766016838,"REG-ON"
50,15689,"62",10,3.16227766016838,"REG-ON"
60,4537,"62",10,3.16227766016838,"REG-ON"
0,100000,"63",50,3.16227766016838,"REG-ON"
10,98650,"63",50,3.16227766016838,"REG-ON"
20,82866,"63",50,3.16227766016838,"REG-ON"
30,106357,"63",50,3.16227766016838,"REG-ON"
40,57587,"63",50,3.16227766016838,"REG-ON"
50,48232,"63",50,3.16227766016838,"REG-ON"
60,21226,"63",50,3.16227766016838,"REG-ON"
0,100000,"64",200,3.16227766016838,"REG-ON"
10,98930,"64",200,3.16227766016838,"REG-ON"
20,87185,"64",200,3.16227766016838,"REG-ON"
30,126191,"64",200,3.16227766016838,"REG-ON"
40,79977,"64",200,3.16227766016838,"REG-ON"
50,82555,"64",200,3.16227766016838,"REG-ON"
60,44937,"64",200,3.16227766016838,"REG-ON"
0,100000,"65",2,3.98107170553497,"REG-ON"
10,95603,"65",2,3.98107170553497,"REG-ON"
20,53989,"65",2,3.98107170553497,"REG-ON"
30,30656,"65",2,3.98107170553497,"REG-ON"
40,7145,"65",2,3.98107170553497,"REG-ON"
50,1690,"65",2,3.98107170553497,"REG-ON"
60,236,"65",2,3.98107170553497,"REG-ON"
0,100000,"66",10,3.98107170553497,"REG-ON"
10,96245,"66",10,3.98107170553497,"REG-ON"
20,60235,"66",10,3.98107170553497,"REG-ON"
30,42370,"66",10,3.98107170553497,"REG-ON"
40,12226,"66",10,3.98107170553497,"REG-ON"
50,4214,"66",10,3.98107170553497,"REG-ON"
60,863,"66",10,3.98107170553497,"REG-ON"
0,100000,"67",50,3.98107170553497,"REG-ON"
10,97408,"67",50,3.98107170553497,"REG-ON"
20,72155,"67",50,3.98107170553497,"REG-ON"
