"survive","param.index","mutant.effect","drug.outsideConcentration.MULT","efflux.binom.param","extinction.time","extinction.time.sd","num.reps","cell.type"
1,"4",200,0,0.5,NA,NA,1000,"REG-ON"
0.963,"5",2,0.5,0.5,33.5442793732995,22.1463433824404,1000,"REG-ON"
0.965,"6",10,0.5,0.5,32.7702710230895,23.7265422516949,1000,"REG-ON"
0.98,"7",50,0.5,0.5,25.5162998360576,12.3860543500676,1000,"REG-ON"
0.991,"8",200,0.5,0.5,18.9859368427861,6.14931174145443,1000,"REG-ON"
0.835,"9",2,0.7,0.5,79.2925832560163,75.2599183916492,1000,"REG-ON"
0.922,"10",10,0.7,0.5,54.6457847944165,44.6068712712895,1000,"REG-ON"
0.957,"11",50,0.7,0.5,33.4283248041031,21.7132214702653,1000,"REG-ON"
0.967,"12",200,0.7,0.5,20.1179304586812,13.0735805200463,1000,"REG-ON"
0.29,"13",2,0.9,0.5,220.901098802014,226.88768668531,1000,"REG-ON"
0.66,"14",10,0.9,0.5,100.408752160277,84.5402858294512,1000,"REG-ON"
0.91,"15",50,0.9,0.5,52.9525405820209,62.0183392022936,1000,"REG-ON"
0.945,"16",200,0.9,0.5,33.755606364859,20.923846643683,1000,"REG-ON"
0.017,"17",2,1,0.5,219.332127319033,217.814562530248,1000,"REG-ON"
0.464,"18",10,1,0.5,154.431203213887,170.264555432465,1000,"REG-ON"
0.853,"19",50,1,0.5,67.4411518930387,63.1230253646628,1000,"REG-ON"
0.904,"20",200,1,0.5,41.5461061334994,40.1381787835839,1000,"REG-ON"
0,"21",2,1.1,0.5,148.766155101179,131.426990889625,1000,"REG-ON"
0.135,"22",10,1.1,0.5,215.025175373077,218.09101947116,1000,"REG-ON"
0.788,"23",50,1.1,0.5,65.1873146350729,52.9628929147284,1000,"REG-ON"
0.892,"24",200,1.1,0.5,49.1445272301242,32.7953820329163,1000,"REG-ON"
0,"25",2,1.2,0.5,104.818439164131,79.113167634196,1000,"REG-ON"
0.006,"26",10,1.2,0.5,196.057196280931,203.21309905071,1000,"REG-ON"
0.667,"27",50,1.2,0.5,103.138630225187,103.596432246741,1000,"REG-ON"
0.833,"28",200,1.2,0.5,62.9603859395401,51.731825308928,1000,"REG-ON"
0,"29",2,1.3,0.5,90.9355623894733,64.2189479940538,1000,"REG-ON"
0,"30",10,1.3,0.5,129.174819487013,115.039481990452,1000,"REG-ON"
0.516,"31",50,1.3,0.5,116.3377239044,112.641152904218,1000,"REG-ON"
0.787,"32",200,1.3,0.5,64.0403259190688,54.8777075143822,1000,"REG-ON"
0,"33",2,1.4,0.5,76.8738209564381,50.7191601018466,1000,"REG-ON"
0,"34",10,1.4,0.5,106.876730912189,81.7339051345356,1000,"REG-ON"
0.308,"35",50,1.4,0.5,174.784032197464,200.132366162349,1000,"REG-ON"
0.682,"36",200,1.4,0.5,83.2015691324851,72.8651493298863,1000,"REG-ON"
0,"37",2,1.5,0.5,66.7653749194254,41.8159831313606,1000,"REG-ON"
0,"38",10,1.5,0.5,90.2747666774172,67.9418094336139,1000,"REG-ON"
0.113,"39",50,1.5,0.5,213.515229320916,239.071472375362,1000,"REG-ON"
0.601,"40",200,1.5,0.5,105.777489425002,97.7863681358047,1000,"REG-ON"
0,"41",2,1.75,0.5,55.4257492010073,31.8412404666694,1000,"REG-ON"
0,"42",10,1.75,0.5,69.5081746437974,46.4869668538341,1000,"REG-ON"
0,"43",50,1.75,0.5,118.661351606918,111.484981562415,1000,"REG-ON"
0.148,"44",200,1.75,0.5,193.163061375495,222.274660162286,1000,"REG-ON"
0,"45",2,2,0.5,46.4244528499588,26.3843727376863,1000,"REG-ON"
0,"46",10,2,0.5,54.5358111684717,31.6664859423525,1000,"REG-ON"
0,"47",50,2,0.5,86.1071724233526,67.0241877432756,1000,"REG-ON"
0.001,"48",200,2,0.5,142.801496334136,151.40501067836,1000,"REG-ON"
0,"49",2,2.25,0.5,42.6383485606794,21.9317709723259,1000,"REG-ON"
0,"50",10,2.25,0.5,47.1185061881648,26.9942844504174,1000,"REG-ON"
0,"51",50,2.25,0.5,70.0599035671597,48.0724505153846,1000,"REG-ON"
0,"52",200,2.25,0.5,96.407491177053,81.7006892019665,1000,"REG-ON"
0,"53",2,2.5,0.5,36.8359080193928,19.8999968738064,1000,"REG-ON"
