"sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT","efflux.binom.param","cell.type"
60,82016,"13",1,1.58489319246111,0.5,"WT"
70,89162,"13",1,1.58489319246111,0.5,"WT"
80,54628,"13",1,1.58489319246111,0.5,"WT"
90,45133,"13",1,1.58489319246111,0.5,"WT"
100,33191,"13",1,1.58489319246111,0.5,"WT"
110,21111,"13",1,1.58489319246111,0.5,"WT"
120,19331,"13",1,1.58489319246111,0.5,"WT"
130,10906,"13",1,1.58489319246111,0.5,"WT"
140,10857,"13",1,1.58489319246111,0.5,"WT"
150,6068,"13",1,1.58489319246111,0.5,"WT"
160,5731,"13",1,1.58489319246111,0.5,"WT"
170,3449,"13",1,1.58489319246111,0.5,"WT"
180,2747,"13",1,1.58489319246111,0.5,"WT"
0,100000,"14",1,1.99526231496888,0.5,"WT"
10,97895,"14",1,1.99526231496888,0.5,"WT"
20,84611,"14",1,1.99526231496888,0.5,"WT"
30,119012,"14",1,1.99526231496888,0.5,"WT"
40,73471,"14",1,1.99526231496888,0.5,"WT"
50,77930,"14",1,1.99526231496888,0.5,"WT"
60,40642,"14",1,1.99526231496888,0.5,"WT"
70,35161,"14",1,1.99526231496888,0.5,"WT"
80,17421,"14",1,1.99526231496888,0.5,"WT"
90,11378,"14",1,1.99526231496888,0.5,"WT"
100,6553,"14",1,1.99526231496888,0.5,"WT"
110,3378,"14",1,1.99526231496888,0.5,"WT"
120,2462,"14",1,1.99526231496888,0.5,"WT"
130,1164,"14",1,1.99526231496888,0.5,"WT"
140,895,"14",1,1.99526231496888,0.5,"WT"
150,403,"14",1,1.99526231496888,0.5,"WT"
160,290,"14",1,1.99526231496888,0.5,"WT"
170,128,"14",1,1.99526231496888,0.5,"WT"
180,81,"14",1,1.99526231496888,0.5,"WT"
0,100000,"15",1,2.51188643150958,0.5,"WT"
10,96930,"15",1,2.51188643150958,0.5,"WT"
20,77328,"15",1,2.51188643150958,0.5,"WT"
30,93924,"15",1,2.51188643150958,0.5,"WT"
40,47803,"15",1,2.51188643150958,0.5,"WT"
50,39750,"15",1,2.51188643150958,0.5,"WT"
60,16299,"15",1,2.51188643150958,0.5,"WT"
70,10829,"15",1,2.51188643150958,0.5,"WT"
80,4271,"15",1,2.51188643150958,0.5,"WT"
90,2205,"15",1,2.51188643150958,0.5,"WT"
100,986,"15",1,2.51188643150958,0.5,"WT"
110,394,"15",1,2.51188643150958,0.5,"WT"
120,209,"15",1,2.51188643150958,0.5,"WT"
130,65,"15",1,2.51188643150958,0.5,"WT"
140,29,"15",1,2.51188643150958,0.5,"WT"
150,14,"15",1,2.51188643150958,0.5,"WT"
160,7,"15",1,2.51188643150958,0.5,"WT"
170,1,"15",1,2.51188643150958,0.5,"WT"
0,100000,"16",1,3.16227766016838,0.5,"WT"
10,95350,"16",1,3.16227766016838,0.5,"WT"
20,67891,"16",1,3.16227766016838,0.5,"WT"
30,67492,"16",1,3.16227766016838,0.5,"WT"
40,27242,"16",1,3.16227766016838,0.5,"WT"
50,16886,"16",1,3.16227766016838,0.5,"WT"
60,5382,"16",1,3.16227766016838,0.5,"WT"
70,2544,"16",1,3.16227766016838,0.5,"WT"
80,762,"16",1,3.16227766016838,0.5,"WT"
90,292,"16",1,3.16227766016838,0.5,"WT"
100,88,"16",1,3.16227766016838,0.5,"WT"
110,31,"16",1,3.16227766016838,0.5,"WT"
120,9,"16",1,3.16227766016838,0.5,"WT"
130,1,"16",1,3.16227766016838,0.5,"WT"
0,100000,"17",1,3.98107170553497,0.5,"WT"
10,93050,"17",1,3.98107170553497,0.5,"WT"
20,56809,"17",1,3.98107170553497,0.5,"WT"
30,44310,"17",1,3.98107170553497,0.5,"WT"
40,13784,"17",1,3.98107170553497,0.5,"WT"
50,5932,"17",1,3.98107170553497,0.5,"WT"
60,1451,"17",1,3.98107170553497,0.5,"WT"
70,487,"17",1,3.98107170553497,0.5,"WT"
80,90,"17",1,3.98107170553497,0.5,"WT"
90,34,"17",1,3.98107170553497,0.5,"WT"
100,8,"17",1,3.98107170553497,0.5,"WT"
110,3,"17",1,3.98107170553497,0.5,"WT"
120,2,"17",1,3.98107170553497,0.5,"WT"
130,1,"17",1,3.98107170553497,0.5,"WT"
0,100000,"18",1,5.01187233627272,0.5,"WT"
10,89561,"18",1,5.01187233627272,0.5,"WT"
20,44356,"18",1,5.01187233627272,0.5,"WT"
30,25884,"18",1,5.01187233627272,0.5,"WT"
40,6468,"18",1,5.01187233627272,0.5,"WT"
50,1791,"18",1,5.01187233627272,0.5,"WT"
60,357,"18",1,5.01187233627272,0.5,"WT"
70,77,"18",1,5.01187233627272,0.5,"WT"
80,19,"18",1,5.01187233627272,0.5,"WT"
90,6,"18",1,5.01187233627272,0.5,"WT"
100,1,"18",1,5.01187233627272,0.5,"WT"
0,100000,"19",1,6.30957344480193,0.5,"WT"
10,85180,"19",1,6.30957344480193,0.5,"WT"
20,33137,"19",1,6.30957344480193,0.5,"WT"
30,14255,"19",1,6.30957344480193,0.5,"WT"
40,2992,"19",1,6.30957344480193,0.5,"WT"
50,624,"19",1,6.30957344480193,0.5,"WT"
60,102,"19",1,6.30957344480193,0.5,"WT"
70,22,"19",1,6.30957344480193,0.5,"WT"
80,1,"19",1,6.30957344480193,0.5,"WT"
0,100000,"20",1,7.94328234724282,0.5,"WT"
10,79117,"20",1,7.94328234724282,0.5,"WT"
20,23149,"20",1,7.94328234724282,0.5,"WT"
30,7550,"20",1,7.94328234724282,0.5,"WT"
40,1394,"20",1,7.94328234724282,0.5,"WT"
50,168,"20",1,7.94328234724282,0.5,"WT"
60,27,"20",1,7.94328234724282,0.5,"WT"
70,1,"20",1,7.94328234724282,0.5,"WT"
0,100000,"21",1,10,0.5,"WT"
10,71803,"21",1,10,0.5,"WT"
20,16083,"21",1,10,0.5,"WT"
30,3993,"21",1,10,0.5,"WT"
40,757,"21",1,10,0.5,"WT"
50,59,"21",1,10,0.5,"WT"
60,9,"21",1,10,0.5,"WT"
70,2,"21",1,10,0.5,"WT"
0,6000,"22",1,0.1,0.6,"WT"
