"survive","param.index","drug.outsideConcentration.MULT","MIC.fraction","kappa","extinction.time","extinction.time.sd","num.reps"
0.96,"112",1,0.11,3,58.9982838352015,38.3119038523446,1000
0.971,"113",1,0.115,3,56.8608444894534,37.9359579573403,1000
0.978,"114",1,0.12,3,52.8983606350221,38.9512754715661,1000
0,"115",1,0.07,4,140.930753923318,97.0097437112549,1000
0,"116",1,0.0705,4,148.503561763944,100.172796559102,1000
0,"117",1,0.071,4,146.366317827646,105.481671848371,1000
0,"118",1,0.0715,4,160.122527418637,117.210400035795,1000
0,"119",1,0.072,4,165.805737581299,123.538993128105,1000
0.001,"120",1,0.0725,4,170.4183448431,132.157601495606,1000
0,"121",1,0.073,4,187.848977135035,153.893774427499,1000
0,"122",1,0.0735,4,187.419274489539,146.348388386028,1000
0.001,"123",1,0.074,4,191.448243154261,160.43867722604,1000
0,"124",1,0.0745,4,210.911660895272,178.918081962346,1000
0.005,"125",1,0.075,4,218.574847830538,181.627721756163,1000
0.006,"126",1,0.0755,4,228.003758301788,194.765667568569,1000
0.013,"127",1,0.076,4,248.04078942819,207.79583986272,1000
0.021,"128",1,0.0765,4,264.764756839622,230.688939243422,1000
0.036,"129",1,0.077,4,252.047175522854,217.990364223648,1000
0.059,"130",1,0.0775,4,283.5394550786,242.722844864368,1000
0.083,"131",1,0.078,4,267.647318564092,238.851686516079,1000
0.09,"132",1,0.0785,4,293.766972102646,266.112017217893,1000
0.12,"133",1,0.079,4,297.789761420736,264.559206377297,1000
0.174,"134",1,0.0795,4,283.960378248228,243.909836920819,1000
0.197,"135",1,0.08,4,287.385465068375,254.549968621959,1000
0.25,"136",1,0.0805,4,290.638005525408,261.474553326183,1000
0.284,"137",1,0.081,4,273.850917062398,234.075293341624,1000
0.32,"138",1,0.0815,4,259.275214889814,225.980359984052,1000
0.385,"139",1,0.082,4,269.534051866617,233.228496375335,1000
0.448,"140",1,0.0825,4,254.143384609893,215.725744298793,1000
0.494,"141",1,0.083,4,258.139542650065,218.630408639522,1000
0.507,"142",1,0.0835,4,232.836801623991,194.528853156266,1000
0.519,"143",1,0.084,4,230.523625553357,205.324752630795,1000
0.606,"144",1,0.0845,4,207.420752957648,172.261708947166,1000
0.626,"145",1,0.085,4,201.723223294428,166.24179542212,1000
0.862,"146",1,0.09,4,137.291510957894,99.7071143184679,1000
0.934,"147",1,0.095,4,106.651653194304,68.7024211805375,1000
0.958,"148",1,0.1,4,74.0069254831052,54.4931752403807,1000
0.977,"149",1,0.105,4,57.9971174302291,33.6122328991942,1000
0.976,"150",1,0.11,4,48.1283996798984,32.6414805828779,1000
0.985,"151",1,0.115,4,58.1170768834719,38.0584897387355,1000
0.995,"152",1,0.12,4,32.6037525626183,22.6059044468155,1000
0,"153",1,0.07,5,140.400669757999,92.0737342543061,1000
0,"154",1,0.0705,5,144.336691785123,98.7168421914017,1000
0,"155",1,0.071,5,158.90392165559,110.191633687764,1000
0,"156",1,0.0715,5,158.523348603777,112.853759762828,1000
0,"157",1,0.072,5,165.830915639998,118.887880594979,1000
0,"158",1,0.0725,5,172.726223903295,129.748008908729,1000
0.001,"159",1,0.073,5,181.972802406768,141.373225872429,1000
0.002,"160",1,0.0735,5,193.010808412114,153.529291019486,1000
0.001,"161",1,0.074,5,207.947895685435,169.676367460106,1000
0.006,"162",1,0.0745,5,215.871361926431,176.448958075706,1000
0.002,"163",1,0.075,5,239.866817977952,199.705108881578,1000
0.014,"164",1,0.0755,5,239.702719379221,208.520406046599,1000
0.021,"165",1,0.076,5,251.989719204695,222.281662964883,1000
0.034,"166",1,0.0765,5,270.110116268557,226.223381922754,1000
0.052,"167",1,0.077,5,270.785242492675,239.125029424952,1000
0.066,"168",1,0.0775,5,289.690782319217,253.753283756446,1000
0.089,"169",1,0.078,5,290.330003377229,253.858273299989,1000
0.128,"170",1,0.0785,5,294.968633111517,249.47869613999,1000
0.164,"171",1,0.079,5,304.514000204355,260.757865713641,1000
0.244,"172",1,0.0795,5,288.975957218865,241.016923737921,1000
0.287,"173",1,0.08,5,280.605767806868,242.654501685656,1000
0.342,"174",1,0.0805,5,270.97914662107,236.018299215979,1000
0.366,"175",1,0.081,5,268.526643149764,230.01330846056,1000
0.444,"176",1,0.0815,5,262.874577698269,218.418057277461,1000
0.508,"177",1,0.082,5,242.271545536368,203.888794279945,1000
0.523,"178",1,0.0825,5,245.187177396377,189.768401763365,1000
0.584,"179",1,0.083,5,235.021629586832,184.339338330974,1000
0.634,"180",1,0.0835,5,205.474650261894,167.117741077958,1000
0.687,"181",1,0.084,5,209.64584839325,158.408201998584,1000
0.668,"182",1,0.0845,5,187.190924913772,137.305739776913,1000
0.692,"183",1,0.085,5,196.679380159814,153.998979338113,1000
0.904,"184",1,0.09,5,124.383047187673,75.1338128291761,1000
0.956,"185",1,0.095,5,83.7774928289968,52.9238070009549,1000
0.978,"186",1,0.1,5,68.0634466440911,38.7306888099043,1000
0.987,"187",1,0.105,5,55.2454198636582,32.9958774392551,1000
0.994,"188",1,0.11,5,62.3726617742206,26.7548734611981,1000
0.996,"189",1,0.115,5,69.984622994251,31.2034405894665,1000
0.997,"190",1,0.12,5,49.3849539039565,32.3222472899236,1000
