"sim.label","sample.time","num.cells","param.index","kappa","MIC.fraction","drug.outsideConcentration.MULT"
61,20,641,41,1,0.08321406,3.98107170553497
61,30,727,41,1,0.08321406,3.98107170553497
61,40,378,41,1,0.08321406,3.98107170553497
61,50,344,41,1,0.08321406,3.98107170553497
61,60,134,41,1,0.08321406,3.98107170553497
61,70,100,41,1,0.08321406,3.98107170553497
61,80,39,41,1,0.08321406,3.98107170553497
61,90,16,41,1,0.08321406,3.98107170553497
61,100,5,41,1,0.08321406,3.98107170553497
61,110,1,41,1,0.08321406,3.98107170553497
61,120,2,41,1,0.08321406,3.98107170553497
61,130,1,41,1,0.08321406,3.98107170553497
61,140,2,41,1,0.08321406,3.98107170553497
62,0,1000,41,1,0.08321406,3.98107170553497
62,10,892,41,1,0.08321406,3.98107170553497
62,20,629,41,1,0.08321406,3.98107170553497
62,30,702,41,1,0.08321406,3.98107170553497
62,40,351,41,1,0.08321406,3.98107170553497
62,50,313,41,1,0.08321406,3.98107170553497
62,60,129,41,1,0.08321406,3.98107170553497
62,70,90,41,1,0.08321406,3.98107170553497
62,80,40,41,1,0.08321406,3.98107170553497
62,90,20,41,1,0.08321406,3.98107170553497
62,100,10,41,1,0.08321406,3.98107170553497
62,110,5,41,1,0.08321406,3.98107170553497
62,120,5,41,1,0.08321406,3.98107170553497
62,130,2,41,1,0.08321406,3.98107170553497
62,140,1,41,1,0.08321406,3.98107170553497
62,150,1,41,1,0.08321406,3.98107170553497
63,0,1000,41,1,0.08321406,3.98107170553497
63,10,894,41,1,0.08321406,3.98107170553497
63,20,619,41,1,0.08321406,3.98107170553497
63,30,677,41,1,0.08321406,3.98107170553497
63,40,334,41,1,0.08321406,3.98107170553497
63,50,280,41,1,0.08321406,3.98107170553497
63,60,121,41,1,0.08321406,3.98107170553497
63,70,82,41,1,0.08321406,3.98107170553497
63,80,32,41,1,0.08321406,3.98107170553497
63,90,20,41,1,0.08321406,3.98107170553497
63,100,12,41,1,0.08321406,3.98107170553497
63,110,3,41,1,0.08321406,3.98107170553497
63,120,1,41,1,0.08321406,3.98107170553497
