"param.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","rate","t.end"
"29",4,0.07814015,1,0.0052168455175585,"120"
"29",4,0.07814015,1,0.00367313772962958,"180"
"30",5,0.0775176,1,0.00717696939028214,"60"
"30",5,0.0775176,1,0.00538449214426311,"120"
"30",5,0.0775176,1,0.00376409074806654,"180"
"31",1,0.08321406,1.58489319246111,0.000228725293671,"60"
"31",1,0.08321406,1.58489319246111,-0.0017746337841908,"120"
"31",1,0.08321406,1.58489319246111,-0.00327184911381799,"180"
"32",2,0.08058672,1.58489319246111,0.000435044408737736,"60"
"32",2,0.08058672,1.58489319246111,-0.00407538601490285,"120"
"32",2,0.08058672,1.58489319246111,-0.0068839352812254,"180"
"33",3,0.079134,1.58489319246111,-5.13803153049958e-05,"60"
"33",3,0.079134,1.58489319246111,-0.00687367016203377,"120"
"33",3,0.079134,1.58489319246111,-0.0106172105083788,"180"
"34",4,0.07814015,1.58489319246111,-0.000969404129010444,"60"
"34",4,0.07814015,1.58489319246111,-0.00958344029253509,"120"
"34",4,0.07814015,1.58489319246111,-0.013881539235782,"180"
"35",5,0.0775176,1.58489319246111,-0.00185165013794635,"60"
"35",5,0.0775176,1.58489319246111,-0.0118609395998879,"120"
"35",5,0.0775176,1.58489319246111,-0.0162329574443827,"180"
"36",1,0.08321406,2.51188643150958,-0.00488919747040331,"60"
"36",1,0.08321406,2.51188643150958,-0.00893861684940644,"120"
"36",1,0.08321406,2.51188643150958,-0.0113363136001354,"180"
"37",2,0.08058672,2.51188643150958,-0.00917137347402871,"60"
"37",2,0.08058672,2.51188643150958,-0.0186568521135799,"120"
"37",2,0.08058672,2.51188643150958,-0.0229296909999162,"180"
"38",3,0.079134,2.51188643150958,-0.0149713336006178,"60"
"38",3,0.079134,2.51188643150958,-0.0300289109407693,"120"
"38",3,0.079134,2.51188643150958,-0.0300289109407693,"180"
"39",4,0.07814015,2.51188643150958,-0.0205634784092692,"60"
"39",4,0.07814015,2.51188643150958,-0.0368140501281757,"120"
"39",4,0.07814015,2.51188643150958,-0.0368140501281757,"180"
"40",5,0.0775176,2.51188643150958,-0.0253479146618303,"60"
"40",5,0.0775176,2.51188643150958,-0.040585644464132,"120"
"40",5,0.0775176,2.51188643150958,-0.040585644464132,"180"
"41",1,0.08321406,3.98107170553497,-0.012394228983328,"60"
"41",1,0.08321406,3.98107170553497,-0.0194031268373373,"120"
"41",1,0.08321406,3.98107170553497,-0.0231923593252991,"180"
"42",2,0.08058672,3.98107170553497,-0.0243239171978717,"60"
"42",2,0.08058672,3.98107170553497,-0.0387417881596533,"120"
"42",2,0.08058672,3.98107170553497,-0.0387417881596533,"180"
"43",3,0.079134,3.98107170553497,-0.0373955132731688,"60"
"43",3,0.079134,3.98107170553497,-0.0471106554270483,"120"
"43",3,0.079134,3.98107170553497,-0.0471106554270483,"180"
"44",4,0.07814015,3.98107170553497,-0.0473990960862876,"60"
"44",4,0.07814015,3.98107170553497,-0.0534238061824886,"120"
"44",4,0.07814015,3.98107170553497,-0.0534238061824886,"180"
"45",5,0.0775176,3.98107170553497,-0.0536744140225469,"60"
"45",5,0.0775176,3.98107170553497,-0.0517530470373714,"120"
"45",5,0.0775176,3.98107170553497,-0.0517530470373714,"180"
"46",1,0.08321406,6.30957344480193,-0.0228905012627483,"60"
"46",1,0.08321406,6.30957344480193,-0.0338435940600409,"120"
"46",1,0.08321406,6.30957344480193,-0.0338435940600409,"180"
"47",2,0.08058672,6.30957344480193,-0.0429052372511815,"60"
"47",2,0.08058672,6.30957344480193,-0.0524724342640074,"120"
"47",2,0.08058672,6.30957344480193,-0.0524724342640074,"180"
"48",3,0.079134,6.30957344480193,-0.0593881938106174,"60"
"48",3,0.079134,6.30957344480193,-0.061216719703303,"120"
"48",3,0.079134,6.30957344480193,-0.061216719703303,"180"
"49",4,0.07814015,6.30957344480193,-0.0683651503543343,"60"
"49",4,0.07814015,6.30957344480193,-0.0694373477303173,"120"
"49",4,0.07814015,6.30957344480193,-0.0694373477303173,"180"
"50",5,0.0775176,6.30957344480193,-0.0750049036144349,"60"
"50",5,0.0775176,6.30957344480193,-0.0750049036144349,"120"
"50",5,0.0775176,6.30957344480193,-0.0750049036144349,"180"
"51",1,0.08321406,10,-0.0365227219417382,"60"
"51",1,0.08321406,10,-0.045776969699982,"120"
"51",1,0.08321406,10,-0.045776969699982,"180"
"52",2,0.08058672,10,-0.0605927189441216,"60"
"52",2,0.08058672,10,-0.0605927189441216,"120"
"52",2,0.08058672,10,-0.0605927189441216,"180"
"53",3,0.079134,10,-0.0702805749329856,"60"
"53",3,0.079134,10,-0.0702805749329856,"120"
"53",3,0.079134,10,-0.0702805749329856,"180"
"54",4,0.07814015,10,-0.0791118395309681,"60"
"54",4,0.07814015,10,-0.0791118395309681,"120"
"54",4,0.07814015,10,-0.0791118395309681,"180"
"55",5,0.0775176,10,-0.0793436401760761,"60"
"55",5,0.0775176,10,-0.0793436401760761,"120"
"55",5,0.0775176,10,-0.0793436401760761,"180"
"56",1,0.08321406,15.8489319246111,-0.0515110935744408,"60"
"56",1,0.08321406,15.8489319246111,-0.0556623376996713,"120"
"56",1,0.08321406,15.8489319246111,-0.0556623376996713,"180"
"57",2,0.08058672,15.8489319246111,-0.0733312190705711,"60"
"57",2,0.08058672,15.8489319246111,-0.0733312190705711,"120"
"57",2,0.08058672,15.8489319246111,-0.0733312190705711,"180"
"58",3,0.079134,15.8489319246111,-0.079870905400184,"60"
"58",3,0.079134,15.8489319246111,-0.079870905400184,"120"
"58",3,0.079134,15.8489319246111,-0.079870905400184,"180"
"59",4,0.07814015,15.8489319246111,-0.0881895451928724,"60"
"59",4,0.07814015,15.8489319246111,-0.0881895451928724,"120"
"59",4,0.07814015,15.8489319246111,-0.0881895451928724,"180"
"60",5,0.0775176,15.8489319246111,-0.0825196803749273,"60"
"60",5,0.0775176,15.8489319246111,-0.0825196803749273,"120"
"60",5,0.0775176,15.8489319246111,-0.0825196803749273,"180"
"61",1,0.08321406,25.1188643150958,-0.0667252530019577,"60"
"61",1,0.08321406,25.1188643150958,-0.0667252530019577,"120"
"61",1,0.08321406,25.1188643150958,-0.0667252530019577,"180"
"62",2,0.08058672,25.1188643150958,-0.0832185727215925,"60"
"62",2,0.08058672,25.1188643150958,-0.0832185727215925,"120"
"62",2,0.08058672,25.1188643150958,-0.0832185727215925,"180"
"63",3,0.079134,25.1188643150958,-0.0892497135961187,"60"
"63",3,0.079134,25.1188643150958,-0.0892497135961187,"120"
"63",3,0.079134,25.1188643150958,-0.0892497135961187,"180"
"64",4,0.07814015,25.1188643150958,-0.0914761774790585,"60"
"64",4,0.07814015,25.1188643150958,-0.0914761774790585,"120"
"64",4,0.07814015,25.1188643150958,-0.0914761774790585,"180"
"65",5,0.0775176,25.1188643150958,-0.0925063089096227,"60"
"65",5,0.0775176,25.1188643150958,-0.0925063089096227,"120"
"65",5,0.0775176,25.1188643150958,-0.0925063089096227,"180"
"66",1,0.08321406,39.8107170553497,-0.0733395173460336,"60"
"66",1,0.08321406,39.8107170553497,-0.0726706862749218,"120"
"66",1,0.08321406,39.8107170553497,-0.0726706862749218,"180"
"67",2,0.08058672,39.8107170553497,-0.0889646124170688,"60"
"67",2,0.08058672,39.8107170553497,-0.0889646124170688,"120"
"67",2,0.08058672,39.8107170553497,-0.0889646124170688,"180"
"68",3,0.079134,39.8107170553497,-0.091135965265497,"60"
"68",3,0.079134,39.8107170553497,-0.091135965265497,"120"
"68",3,0.079134,39.8107170553497,-0.091135965265497,"180"
"69",4,0.07814015,39.8107170553497,-0.0909999650383541,"60"
"69",4,0.07814015,39.8107170553497,-0.0909999650383541,"120"
"69",4,0.07814015,39.8107170553497,-0.0909999650383541,"180"
"70",5,0.0775176,39.8107170553497,-0.094651073088999,"60"
