"survive","parameter.index","mutant.effect","drug.outsideConcentration.MULT","drug.off","cell.type","final.size"
1,"9",2,0.7,Inf,"REG-OFF",91523
1,"10",10,0.7,Inf,"REG-OFF",96172
1,"11",50,0.7,Inf,"REG-OFF",101660
1,"12",200,0.7,Inf,"REG-OFF",102771
1,"13",2,0.9,Inf,"REG-OFF",56888
1,"14",10,0.9,Inf,"REG-OFF",74366
1,"15",50,0.9,Inf,"REG-OFF",87943
1,"16",200,0.9,Inf,"REG-OFF",93209
0,"17",2,1,Inf,"REG-OFF",12880
1,"18",10,1,Inf,"REG-OFF",54452
1,"19",50,1,Inf,"REG-OFF",78871
1,"20",200,1,Inf,"REG-OFF",85645
0,"21",2,1.1,Inf,"REG-OFF",27
0,"22",10,1.1,Inf,"REG-OFF",34399
1,"23",50,1.1,Inf,"REG-OFF",65315
1,"24",200,1.1,Inf,"REG-OFF",77517
0,"25",2,1.2,Inf,"REG-OFF",0
0,"26",10,1.2,Inf,"REG-OFF",21758
0,"27",50,1.2,Inf,"REG-OFF",54887
1,"28",200,1.2,Inf,"REG-OFF",66229
0,"29",2,1.3,Inf,"REG-OFF",0
0,"30",10,1.3,Inf,"REG-OFF",11381
0,"31",50,1.3,Inf,"REG-OFF",46685
1,"32",200,1.3,Inf,"REG-OFF",62509
0,"33",2,1.4,Inf,"REG-OFF",0
0,"34",10,1.4,Inf,"REG-OFF",4992
0,"35",50,1.4,Inf,"REG-OFF",40063
0,"36",200,1.4,Inf,"REG-OFF",54166
0,"37",2,1.5,Inf,"REG-OFF",0
0,"38",10,1.5,Inf,"REG-OFF",1190
0,"39",50,1.5,Inf,"REG-OFF",35535
1,"40",200,1.5,Inf,"REG-OFF",47214
0,"41",2,1.75,Inf,"REG-OFF",0
0,"42",10,1.75,Inf,"REG-OFF",0
0,"43",50,1.75,Inf,"REG-OFF",18123
0,"44",200,1.75,Inf,"REG-OFF",32216
0,"45",2,2,Inf,"REG-OFF",0
0,"46",10,2,Inf,"REG-OFF",0
0,"47",50,2,Inf,"REG-OFF",1151
1,"48",200,2,Inf,"REG-OFF",9717
0,"49",2,2.25,Inf,"REG-OFF",0
0,"50",10,2.25,Inf,"REG-OFF",0
0,"51",50,2.25,Inf,"REG-OFF",0
0,"52",200,2.25,Inf,"REG-OFF",0
0,"53",2,2.5,Inf,"REG-OFF",0
0,"54",10,2.5,Inf,"REG-OFF",0
0,"55",50,2.5,Inf,"REG-OFF",0
0,"56",200,2.5,Inf,"REG-OFF",0
0,"57",2,2.75,Inf,"REG-OFF",0
0,"58",10,2.75,Inf,"REG-OFF",0
0,"59",50,2.75,Inf,"REG-OFF",0
0,"60",200,2.75,Inf,"REG-OFF",0
0,"61",2,3,Inf,"REG-OFF",0
0,"62",10,3,Inf,"REG-OFF",0
0,"63",50,3,Inf,"REG-OFF",0
0,"64",200,3,Inf,"REG-OFF",0
0,"65",2,3.5,Inf,"REG-OFF",0
0,"66",10,3.5,Inf,"REG-OFF",0
0,"67",50,3.5,Inf,"REG-OFF",0
0,"68",200,3.5,Inf,"REG-OFF",0
0,"69",2,4,Inf,"REG-OFF",0
0,"70",10,4,Inf,"REG-OFF",0
0,"71",50,4,Inf,"REG-OFF",0
0,"72",200,4,Inf,"REG-OFF",0
0,"73",2,4.5,Inf,"REG-OFF",0
0,"74",10,4.5,Inf,"REG-OFF",0
0,"75",50,4.5,Inf,"REG-OFF",0
0,"76",200,4.5,Inf,"REG-OFF",0
0,"77",2,5,Inf,"REG-OFF",0
0,"78",10,5,Inf,"REG-OFF",0
0,"79",50,5,Inf,"REG-OFF",0
0,"80",200,5,Inf,"REG-OFF",0
1,"81",2,1,30,"REG-OFF",106464
1,"82",10,1,30,"REG-OFF",107912
1,"83",50,1,30,"REG-OFF",109232
1,"84",200,1,30,"REG-OFF",110507
1,"85",2,2,30,"REG-OFF",63850
1,"86",10,2,30,"REG-OFF",71375
0,"87",50,2,30,"REG-OFF",79629
1,"88",200,2,30,"REG-OFF",85061
0,"89",2,3,30,"REG-OFF",16303
0,"90",10,3,30,"REG-OFF",28767
0,"91",50,3,30,"REG-OFF",42119
1,"92",200,3,30,"REG-OFF",51682
0,"93",2,4,30,"REG-OFF",4176
