"sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT","cell.type"
40,29724,"15",50,0.199526231496888,"REG-ON"
50,57296,"15",50,0.199526231496888,"REG-ON"
60,58665,"15",50,0.199526231496888,"REG-ON"
70,75907,"15",50,0.199526231496888,"REG-ON"
80,115465,"15",50,0.199526231496888,"REG-ON"
90,117187,"15",50,0.199526231496888,"REG-ON"
100,225480,"15",50,0.199526231496888,"REG-ON"
110,225232,"15",50,0.199526231496888,"REG-ON"
120,384101,"15",50,0.199526231496888,"REG-ON"
130,442351,"15",50,0.199526231496888,"REG-ON"
140,540675,"15",50,0.199526231496888,"REG-ON"
150,867257,"15",50,0.199526231496888,"REG-ON"
160,888655,"15",50,0.199526231496888,"REG-ON"
170,1628083,"15",50,0.199526231496888,"REG-ON"
180,1694031,"15",50,0.199526231496888,"REG-ON"
0,15000,"16",200,0.199526231496888,"REG-ON"
10,14995,"16",200,0.199526231496888,"REG-ON"
20,14987,"16",200,0.199526231496888,"REG-ON"
30,29880,"16",200,0.199526231496888,"REG-ON"
40,29770,"16",200,0.199526231496888,"REG-ON"
50,57548,"16",200,0.199526231496888,"REG-ON"
60,58941,"16",200,0.199526231496888,"REG-ON"
70,76535,"16",200,0.199526231496888,"REG-ON"
80,116469,"16",200,0.199526231496888,"REG-ON"
90,118427,"16",200,0.199526231496888,"REG-ON"
100,228479,"16",200,0.199526231496888,"REG-ON"
110,228762,"16",200,0.199526231496888,"REG-ON"
120,391744,"16",200,0.199526231496888,"REG-ON"
130,451282,"16",200,0.199526231496888,"REG-ON"
140,554024,"16",200,0.199526231496888,"REG-ON"
150,889285,"16",200,0.199526231496888,"REG-ON"
160,913853,"16",200,0.199526231496888,"REG-ON"
170,1678485,"16",200,0.199526231496888,"REG-ON"
180,1749821,"16",200,0.199526231496888,"REG-ON"
0,25000,"17",2,0.251188643150958,"REG-ON"
10,24983,"17",2,0.251188643150958,"REG-ON"
20,24922,"17",2,0.251188643150958,"REG-ON"
