"parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type","rate"
"75",20,0.28002,2.51188643150958,"WT",-0.0415422979761517
"76",1,0.349697,3.16227766016838,"WT",-0.0112826573891928
"77",2,0.3185616,3.16227766016838,"WT",-0.0177524127891113
"78",5,0.3003958,3.16227766016838,"WT",-0.0348740038401223
"79",10,0.2956701,3.16227766016838,"WT",-0.0445482861753232
"80",20,0.28002,3.16227766016838,"WT",-0.0491623180930083
"81",1,0.349697,3.98107170553497,"WT",-0.0216949445803728
"82",2,0.3185616,3.98107170553497,"WT",-0.029135213244253
"83",5,0.3003958,3.98107170553497,"WT",-0.0448121690435461
"84",10,0.2956701,3.98107170553497,"WT",-0.05151901522335
"85",20,0.28002,3.98107170553497,"WT",-0.0562554113811623
"86",1,0.349697,5.01187233627272,"WT",-0.0347829916372496
"87",2,0.3185616,5.01187233627272,"WT",-0.0405701020018699
"88",5,0.3003958,5.01187233627272,"WT",-0.0520089758500334
"89",10,0.2956701,5.01187233627272,"WT",-0.0561479634664075
"90",20,0.28002,5.01187233627272,"WT",-0.0613462314484779
"91",1,0.349697,6.30957344480193,"WT",-0.0450401515908095
"92",2,0.3185616,6.30957344480193,"WT",-0.0499310353685332
"93",5,0.3003958,6.30957344480193,"WT",-0.0568765295862787
"94",10,0.2956701,6.30957344480193,"WT",-0.0589405264665065
"95",20,0.28002,6.30957344480193,"WT",-0.0640660733500335
"96",1,0.349697,7.94328234724282,"WT",-0.0521553758225198
"97",2,0.3185616,7.94328234724282,"WT",-0.0540858391094004
"98",5,0.3003958,7.94328234724282,"WT",-0.0610033389041412
"99",10,0.2956701,7.94328234724282,"WT",-0.0624727182936826
"100",20,0.28002,7.94328234724282,"WT",-0.0664980228624124
"101",1,0.349697,10,"WT",-0.0584479305336815
"102",2,0.3185616,10,"WT",-0.0600769721028377
"103",5,0.3003958,10,"WT",-0.0630088622419525
"104",10,0.2956701,10,"WT",-0.0682275893990689
"105",20,0.28002,10,"WT",-0.0687855994928751
"106",1,0.349697,12.5892541179417,"WT",-0.0604697176632692
"107",2,0.3185616,12.5892541179417,"WT",-0.0623667484948945
"108",5,0.3003958,12.5892541179417,"WT",-0.0662561437424016
"109",10,0.2956701,12.5892541179417,"WT",-0.0690242699101862
"110",20,0.28002,12.5892541179417,"WT",-0.0698144156990477
"111",1,0.349697,15.8489319246111,"WT",-0.0637563117284026
"112",2,0.3185616,15.8489319246111,"WT",-0.0638550793810491
"113",5,0.3003958,15.8489319246111,"WT",-0.0686845004152423
"114",10,0.2956701,15.8489319246111,"WT",-0.0721110709539284
"115",20,0.28002,15.8489319246111,"WT",-0.0705918427402646
"116",1,0.349697,19.9526231496888,"WT",-0.064807425325063
"117",2,0.3185616,19.9526231496888,"WT",-0.0669083801658469
"118",5,0.3003958,19.9526231496888,"WT",-0.0688817406422821
"119",10,0.2956701,19.9526231496888,"WT",-0.070398515565225
"120",20,0.28002,19.9526231496888,"WT",-0.0695261749207133
"121",1,0.349697,25.1188643150958,"WT",-0.0679983712120688
"122",2,0.3185616,25.1188643150958,"WT",-0.0664811938395015
"123",5,0.3003958,25.1188643150958,"WT",-0.0725274205082248
"124",10,0.2956701,25.1188643150958,"WT",-0.0691964767881592
"125",20,0.28002,25.1188643150958,"WT",-0.0733003061236019
"126",1,0.349697,31.6227766016838,"WT",-0.0698713228839911
"127",2,0.3185616,31.6227766016838,"WT",-0.0701162823007385
"128",5,0.3003958,31.6227766016838,"WT",-0.0715667577675588
"129",10,0.2956701,31.6227766016838,"WT",-0.0710798368732278
"130",20,0.28002,31.6227766016838,"WT",-0.0720772120117658
"131",1,0.349697,39.8107170553497,"WT",-0.0722483797706673
"132",2,0.3185616,39.8107170553497,"WT",-0.0705275046111018
"133",5,0.3003958,39.8107170553497,"WT",-0.0712014516033364
"134",10,0.2956701,39.8107170553497,"WT",-0.0744888721861548
"135",20,0.28002,39.8107170553497,"WT",-0.0711252924455577
"136",1,0.349697,50.1187233627273,"WT",-0.0723342209788505
"137",2,0.3185616,50.1187233627273,"WT",-0.0727835712708755
"138",5,0.3003958,50.1187233627273,"WT",-0.0703746915084653
"139",10,0.2956701,50.1187233627273,"WT",-0.0744167876449297
"140",20,0.28002,50.1187233627273,"WT",-0.0699900300142064
"141",1,0.349697,63.0957344480194,"WT",-0.0709669235129943
"142",2,0.3185616,63.0957344480194,"WT",-0.070249226737274
"143",5,0.3003958,63.0957344480194,"WT",-0.0724362984680137
"144",10,0.2956701,63.0957344480194,"WT",-0.0719593344764302
"145",20,0.28002,63.0957344480194,"WT",-0.072888352288359
"146",1,0.349697,79.4328234724282,"WT",-0.0709021513909088
"147",2,0.3185616,79.4328234724282,"WT",-0.0740442624196626
"148",5,0.3003958,79.4328234724282,"WT",-0.0715498179620086
"149",10,0.2956701,79.4328234724282,"WT",-0.0746885189326797
"150",20,0.28002,79.4328234724282,"WT",-0.071792249659784
"151",1,0.349697,100,"WT",-0.0730625826326275
"152",2,0.3185616,100,"WT",-0.0725959296180813
"153",5,0.3003958,100,"WT",-0.072332352048382
"154",10,0.2956701,100,"WT",-0.077580779649245
"155",20,0.28002,100,"WT",-0.0734802038864633
