"sample.time","num.cells","parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type"
0,100000,"56",1,0.349697,1.25892541179417,"WT"
10,96457,"56",1,0.349697,1.25892541179417,"WT"
20,88248,"56",1,0.349697,1.25892541179417,"WT"
30,149304,"56",1,0.349697,1.25892541179417,"WT"
40,122884,"56",1,0.349697,1.25892541179417,"WT"
50,192493,"56",1,0.349697,1.25892541179417,"WT"
60,149272,"56",1,0.349697,1.25892541179417,"WT"
0,100000,"57",2,0.3185616,1.25892541179417,"WT"
10,98904,"57",2,0.3185616,1.25892541179417,"WT"
20,94003,"57",2,0.3185616,1.25892541179417,"WT"
30,163584,"57",2,0.3185616,1.25892541179417,"WT"
40,136433,"57",2,0.3185616,1.25892541179417,"WT"
50,211346,"57",2,0.3185616,1.25892541179417,"WT"
60,160343,"57",2,0.3185616,1.25892541179417,"WT"
0,100000,"58",5,0.3003958,1.25892541179417,"WT"
10,99973,"58",5,0.3003958,1.25892541179417,"WT"
20,100387,"58",5,0.3003958,1.25892541179417,"WT"
30,188562,"58",5,0.3003958,1.25892541179417,"WT"
40,167195,"58",5,0.3003958,1.25892541179417,"WT"
50,261209,"58",5,0.3003958,1.25892541179417,"WT"
60,192344,"58",5,0.3003958,1.25892541179417,"WT"
0,100000,"59",10,0.2956701,1.25892541179417,"WT"
10,100000,"59",10,0.2956701,1.25892541179417,"WT"
20,101354,"59",10,0.2956701,1.25892541179417,"WT"
30,198110,"59",10,0.2956701,1.25892541179417,"WT"
40,187013,"59",10,0.2956701,1.25892541179417,"WT"
50,297774,"59",10,0.2956701,1.25892541179417,"WT"
60,208723,"59",10,0.2956701,1.25892541179417,"WT"
0,100000,"60",20,0.28002,1.25892541179417,"WT"
10,100000,"60",20,0.28002,1.25892541179417,"WT"
20,101360,"60",20,0.28002,1.25892541179417,"WT"
30,199776,"60",20,0.28002,1.25892541179417,"WT"
40,192412,"60",20,0.28002,1.25892541179417,"WT"
50,251349,"60",20,0.28002,1.25892541179417,"WT"
60,110627,"60",20,0.28002,1.25892541179417,"WT"
0,100000,"61",1,0.349697,1.58489319246111,"WT"
10,95465,"61",1,0.349697,1.58489319246111,"WT"
20,84584,"61",1,0.349697,1.58489319246111,"WT"
30,136366,"61",1,0.349697,1.58489319246111,"WT"
40,105551,"61",1,0.349697,1.58489319246111,"WT"
50,152247,"61",1,0.349697,1.58489319246111,"WT"
60,108334,"61",1,0.349697,1.58489319246111,"WT"
0,100000,"62",2,0.3185616,1.58489319246111,"WT"
10,98298,"62",2,0.3185616,1.58489319246111,"WT"
20,90359,"62",2,0.3185616,1.58489319246111,"WT"
30,146563,"62",2,0.3185616,1.58489319246111,"WT"
40,110387,"62",2,0.3185616,1.58489319246111,"WT"
50,149266,"62",2,0.3185616,1.58489319246111,"WT"
60,97836,"62",2,0.3185616,1.58489319246111,"WT"
0,100000,"63",5,0.3003958,1.58489319246111,"WT"
10,99909,"63",5,0.3003958,1.58489319246111,"WT"
20,98257,"63",5,0.3003958,1.58489319246111,"WT"
