"sample.time","num.cells","parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type"
10,97670,"31",2,0.9311702,0.501187233627272,"WT"
20,91252,"31",2,0.9311702,0.501187233627272,"WT"
30,164411,"31",2,0.9311702,0.501187233627272,"WT"
40,149706,"31",2,0.9311702,0.501187233627272,"WT"
50,269486,"31",2,0.9311702,0.501187233627272,"WT"
60,245608,"31",2,0.9311702,0.501187233627272,"WT"
0,100000,"32",3,0.9290991,0.501187233627272,"WT"
10,98190,"32",3,0.9290991,0.501187233627272,"WT"
20,92196,"32",3,0.9290991,0.501187233627272,"WT"
30,166411,"32",3,0.9290991,0.501187233627272,"WT"
40,152335,"32",3,0.9290991,0.501187233627272,"WT"
50,275384,"32",3,0.9290991,0.501187233627272,"WT"
60,252611,"32",3,0.9290991,0.501187233627272,"WT"
0,100000,"33",1e-06,0.9332099,0.630957344480193,"WT"
10,95189,"33",1e-06,0.9332099,0.630957344480193,"WT"
20,85436,"33",1e-06,0.9332099,0.630957344480193,"WT"
30,148053,"33",1e-06,0.9332099,0.630957344480193,"WT"
