"parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type","rate"
"92",2,0.08951271,6.30957344480193,"WT",-0.0395714548473539
"93",3,0.08567227,6.30957344480193,"WT",-0.0604906794639989
"94",4,0.08319832,6.30957344480193,"WT",-0.0644383069940887
"95",5,0.0822,6.30957344480193,"WT",-0.0694579034430806
"96",1,0.1043,7.94328234724282,"WT",-0.0246127961539097
"97",2,0.08951271,7.94328234724282,"WT",-0.0507068021545619
"98",3,0.08567227,7.94328234724282,"WT",-0.0670784138640118
"99",4,0.08319832,7.94328234724282,"WT",-0.0721177101624075
"100",5,0.0822,7.94328234724282,"WT",-0.0757897025682206
"101",1,0.1043,10,"WT",-0.0314173647335832
"102",2,0.08951271,10,"WT",-0.0591155443989301
"103",3,0.08567227,10,"WT",-0.0732260766897554
"104",4,0.08319832,10,"WT",-0.0824009595711497
"105",5,0.0822,10,"WT",-0.0793790294475744
"106",1,0.1043,12.5892541179417,"WT",-0.03922668190458
"107",2,0.08951271,12.5892541179417,"WT",-0.0602329825027319
"108",3,0.08567227,12.5892541179417,"WT",-0.0778672548383089
"109",4,0.08319832,12.5892541179417,"WT",-0.0737929993492757
"110",5,0.0822,12.5892541179417,"WT",-0.0840538492876583
"111",1,0.1043,15.8489319246111,"WT",-0.0473527417741096
"112",2,0.08951271,15.8489319246111,"WT",-0.0746415191140048
"113",3,0.08567227,15.8489319246111,"WT",-0.0727077796923635
"114",4,0.08319832,15.8489319246111,"WT",-0.0842638425615128
"115",5,0.0822,15.8489319246111,"WT",-0.0858676818768709
"116",1,0.1043,19.9526231496888,"WT",-0.0544964708271282
"117",2,0.08951271,19.9526231496888,"WT",-0.0724075696799664
"118",3,0.08567227,19.9526231496888,"WT",-0.0870774717276864
"119",4,0.08319832,19.9526231496888,"WT",-0.0811318621425597
"120",5,0.0822,19.9526231496888,"WT",-0.0861968280530203
"121",1,0.1043,25.1188643150958,"WT",-0.0637446654022781
"122",2,0.08951271,25.1188643150958,"WT",-0.0816686434593316
"123",3,0.08567227,25.1188643150958,"WT",-0.0794337250139479
"124",4,0.08319832,25.1188643150958,"WT",-0.0842009540066283
"125",5,0.0822,25.1188643150958,"WT",-0.0912409442505844
"126",1,0.1043,31.6227766016838,"WT",-0.06888294058098
"127",2,0.08951271,31.6227766016838,"WT",-0.0819134369057041
"128",3,0.08567227,31.6227766016838,"WT",-0.0868889030117152
"129",4,0.08319832,31.6227766016838,"WT",-0.093012213828585
"130",5,0.0822,31.6227766016838,"WT",-0.0858534799500979
"131",1,0.1043,39.8107170553497,"WT",-0.0723736058546862
"132",2,0.08951271,39.8107170553497,"WT",-0.0858652342988638
"133",3,0.08567227,39.8107170553497,"WT",-0.0885974642894215
"134",4,0.08319832,39.8107170553497,"WT",-0.0889687139147034
"135",5,0.0822,39.8107170553497,"WT",-0.0920473390423915
"136",1,0.1043,50.1187233627273,"WT",-0.0779411345210469
"137",2,0.08951271,50.1187233627273,"WT",-0.0877659515252655
"138",3,0.08567227,50.1187233627273,"WT",-0.088946098927711
"139",4,0.08319832,50.1187233627273,"WT",-0.09448699449918
"140",5,0.0822,50.1187233627273,"WT",-0.0935585652541473
"141",1,0.1043,63.0957344480194,"WT",-0.0827372712390228
"142",2,0.08951271,63.0957344480194,"WT",-0.0911259369339163
"143",3,0.08567227,63.0957344480194,"WT",-0.0924630720374298
"144",4,0.08319832,63.0957344480194,"WT",-0.0907064763011815
"145",5,0.0822,63.0957344480194,"WT",-0.0971320770277903
"146",1,0.1043,79.4328234724282,"WT",-0.0781036904599674
"147",2,0.08951271,79.4328234724282,"WT",-0.0866428899400114
"148",3,0.08567227,79.4328234724282,"WT",-0.0939649938576599
"149",4,0.08319832,79.4328234724282,"WT",-0.0943308810809428
"150",5,0.0822,79.4328234724282,"WT",-0.0955394335419689
"151",1,0.1043,100,"WT",-0.0814620569684502
"152",2,0.08951271,100,"WT",-0.0877081476831264
"153",3,0.08567227,100,"WT",-0.0961020511598976
"154",4,0.08319832,100,"WT",-0.0905359647624164
"155",5,0.0822,100,"WT",-0.0948340527062207
