"cell.type","t.end","psi90","psi99","psiZMIC"
"STRUCT-CAT","80",1.28392336423,1.39655331247552,1.40880655881173
"STRUCT-CAT","90",1.20902123292114,1.31702819762022,1.3285980472619
"STRUCT-CAT","100",1.18690070853988,1.28805983781047,1.29903750612009
"STRUCT-CAT","110",1.14532143672359,1.24162347918038,1.25216474522981
"STRUCT-CAT","120",1.12590194744705,1.21747964421314,1.22756258553497
"STRUCT-CAT","130",1.10153172192691,1.18941496292005,1.19918143754177
"STRUCT-CAT","140",1.07744724849399,1.16251636753311,1.17195932118367
"STRUCT-CAT","150",1.06347357848697,1.14613077145215,1.15525581165651
"STRUCT-CAT","160",1.0433678209738,1.12457732333596,1.13341010648295
"STRUCT-CAT","170",1.03435897488591,1.11395178965378,1.12257342487055
"STRUCT-CAT","180",1.02050539291995,1.09911774460615,1.10757446841963
"STRUCT-CAT","190",1.01136648552113,1.08888729789335,1.09723139690543
"STRUCT-CAT","200",1.00229188259472,1.07890816478481,1.08712530598237
"STRUCT-CAT","210",NA,1.0680603818057,1.07625056039547
"STRUCT-CAT","220",NA,1.06133074202363,1.06940775792036
"STRUCT-CAT","230",NA,1.05198134161883,1.06010088028036
"STRUCT-CAT","240",NA,1.04657093710077,1.05459196032149
"STRUCT-CAT","250",NA,1.03960739225218,1.04754550360953
"STRUCT-CAT","260",NA,1.03396529556813,1.04188310750116
"STRUCT-CAT","270",NA,1.02897172764247,1.03682581331658
"STRUCT-CAT","280",NA,1.02318145303342,1.0309625232468
"STRUCT-CAT","290",NA,1.01946386181553,1.02718375047233
"STRUCT-CAT","300",NA,1.01435397063164,1.02203554513153
"WT","30",1.80770028179346,2.06646661206821,2.0933607365606
"WT","40",1.54684513051567,1.75391320119225,1.77565646127768
"WT","50",1.61208061553422,1.773926997908,1.79101310210914
"WT","60",1.47616937751799,1.61323236881717,1.62889424889761
"WT","70",1.45063664290428,1.57110174025041,1.5844793327174
"WT","80",1.37144454121009,1.48608627299878,1.49814768078908
"WT","90",1.32140968064036,1.43033392836949,1.44210624009231
"WT","100",1.27975673328286,1.3806836969495,1.39205451165132
"WT","110",1.23485243210666,1.32957834045347,1.3401507069116
"WT","120",1.2123938743388,1.30322707153596,1.31321752490012
"WT","130",1.17901509916101,1.26805392231215,1.27768064621115
"WT","140",1.16515064080943,1.25184137677124,1.26119800864453
"WT","150",1.14237727645665,1.2276724684284,1.23686459341637
"WT","160",1.13132530020156,1.21470227532576,1.22369534361335
"WT","170",1.11576091047514,1.19793332596606,1.2067797158711
"WT","180",1.10444118616643,1.18523556523044,1.19396314891053
"WT","190",1.09385969833036,1.17348025605811,1.18209980353692
"WT","200",1.08260260025817,1.16128539410783,1.16980326221972
"WT","210",1.07539244912297,1.15313333042708,1.1615508994602
"WT","220",1.0654658622069,1.14245447876672,1.1508333635058
"WT","230",1.06025593689764,1.13643267699914,1.14469174490045
"WT","240",1.05234678340944,1.12791736530006,1.13615564868532
"WT","250",1.04782436161102,1.1227233923332,1.13086754946872
"WT","260",1.04182381318046,1.1161879487432,1.12429383581085
"WT","270",1.03725448649363,1.11108157297572,1.11914704242757
"WT","280",1.03279767276435,1.10613884073313,1.11413890659963
"WT","290",1.02815636475649,1.1010245713937,1.10899834915188
"WT","300",1.02478652728968,1.09721049747966,1.10514792469774
"KO","30",1.8981421565491,2.15247750278256,2.1800618117725
"KO","40",1.60854897656842,1.80809392929712,1.82977862121193
"KO","50",1.64679176724992,1.80357434031911,1.82083099550639
"KO","60",1.49890002502947,1.63806573618557,1.65294577665724
"KO","70",1.47939621915508,1.60124732950244,1.61454129786055
"KO","80",1.39438645582419,1.50827758844364,1.52051014940065
"KO","90",1.37145200249467,1.47782585055252,1.48903380985231
"KO","100",1.31902995894698,1.41977539463389,1.43086616946092
"KO","110",1.29891377017474,1.39382651851741,1.40444665564848
"KO","120",1.26437227584153,1.35489240044587,1.36500501669186
